base	output	note
'	(dead)	apostrophe arms dead key
a	ā	
i	ī	
u	ū	
r	ṛ	
l	ḷ	
m	ṃ	
h	ḥ	
n	ṇ	
t	ṭ	
d	ḍ	
s	ś	
A	Ā	
I	Ī	
U	Ū	
R	Ṛ	
L	Ḷ	
M	Ṃ	
H	Ḥ	
N	Ṇ	
T	Ṭ	
D	Ḍ	
S	Ś	
